Paragraph Number,Compound Score,Classification
1,0.0,Neutral
2,-0.5423,Strong Negative
3,-0.2846,Weak Negative
4,-0.3089,Weak Negative
5,0.5423,Strong Positive
6,-0.9263,Strong Negative
7,-0.8658,Strong Negative
8,-0.1531,Weak Negative
9,-0.6103,Strong Negative
10,-0.5868,Strong Negative
11,-0.3291,Weak Negative
12,-0.4497,Weak Negative
13,0.1254,Weak Positive
14,0.3612,Weak Positive
15,0.3612,Weak Positive
16,-0.6307,Strong Negative
17,0.6956,Strong Positive
18,-0.6705,Strong Negative
19,0.6705,Strong Positive
20,0.4767,Weak Positive
21,-0.5106,Strong Negative
22,0.8479,Strong Positive
23,0.4721,Weak Positive
24,-0.3818,Weak Negative
25,0.0,Neutral
26,-0.296,Weak Negative
27,0.34,Weak Positive
28,-0.4019,Weak Negative
29,-0.2869,Weak Negative
30,-0.6705,Strong Negative
31,-0.8965,Strong Negative
32,-0.9371,Strong Negative
33,-0.8573,Strong Negative
34,-0.6908,Strong Negative
35,-0.9382,Strong Negative
36,-0.8481,Strong Negative
37,-0.7003,Strong Negative
38,-0.1779,Weak Negative
39,-0.2714,Weak Negative
40,-0.6705,Strong Negative
41,-0.9153,Strong Negative
42,-0.3182,Weak Negative
43,-0.4939,Weak Negative
44,-0.7283,Strong Negative
45,-0.4091,Weak Negative
46,0.0,Neutral
47,-0.836,Strong Negative
