Paragraph Number,Compound Score,Classification
1,0.0,Neutral
2,-0.4694,Weak Negative
3,0.5053,Strong Positive
4,0.5165,Strong Positive
5,0.2289,Weak Positive
6,0.0,Neutral
7,-0.9776,Strong Negative
8,0.0,Neutral
9,-0.8176,Strong Negative
10,-0.0516,Neutral
11,-0.3664,Weak Negative
12,-0.685,Strong Negative
13,-0.7772,Strong Negative
14,-0.6239,Strong Negative
15,-0.3291,Weak Negative
16,0.8825,Strong Positive
17,0.0772,Neutral
18,-0.25,Weak Negative
19,-0.6705,Strong Negative
20,-0.9028,Strong Negative
21,-0.9768,Strong Negative
