Paragraph Number,Compound Score,Classification
1,0.0,Neutral
2,-0.5423,Strong Negative
3,-0.5423,Strong Negative
4,-0.872,Strong Negative
5,-0.9209,Strong Negative
6,-0.3898,Weak Negative
7,0.0,Neutral
8,-0.4215,Weak Negative
9,0.1531,Weak Positive
10,0.359,Weak Positive
11,-0.6249,Strong Negative
12,-0.955,Strong Negative
13,-0.1901,Weak Negative
14,0.5106,Strong Positive
15,0.0,Neutral
16,-0.3544,Weak Negative
17,-0.5176,Strong Negative
18,-0.9676,Strong Negative
19,-0.9544,Strong Negative
20,-0.913,Strong Negative
21,-0.7096,Strong Negative
22,-0.25,Weak Negative
