Paragraph Number,Compound Score,Classification
1,0.0,Neutral
2,-0.5423,Strong Negative
3,-0.9498,Strong Negative
4,-0.7059,Strong Negative
5,0.2596,Weak Positive
6,-0.9592,Strong Negative
7,-0.8765,Strong Negative
8,-0.9425,Strong Negative
9,-0.7432,Strong Negative
10,-0.9523,Strong Negative
11,-0.9586,Strong Negative
12,0.1779,Weak Positive
13,0.2387,Weak Positive
14,-0.2748,Weak Negative
15,-0.8862,Strong Negative
16,-0.6239,Strong Negative
17,-0.6737,Strong Negative
18,0.2942,Weak Positive
19,-0.9401,Strong Negative
20,0.7096,Strong Positive
21,-0.9874,Strong Negative
22,-0.5083,Strong Negative
23,-0.8807,Strong Negative
24,0.3506,Weak Positive
25,-0.7184,Strong Negative
26,-0.6249,Strong Negative
27,-0.8126,Strong Negative
28,0.2831,Weak Positive
29,-0.8225,Strong Negative
30,-0.9384,Strong Negative
31,0.1326,Weak Positive
32,0.3818,Weak Positive
33,0.85,Strong Positive
34,-0.4215,Weak Negative
35,-0.4939,Weak Negative
36,-0.5789,Strong Negative
