Paragraph Number,Compound Score,Classification
1,0.0,Neutral
2,0.5719,Strong Positive
3,-0.9169,Strong Negative
4,0.8126,Strong Positive
5,-0.5574,Strong Negative
6,0.2263,Weak Positive
7,-0.3182,Weak Negative
8,0.5095,Strong Positive
9,-0.7717,Strong Negative
10,-0.7311,Strong Negative
11,-0.8805,Strong Negative
12,-0.6229,Strong Negative
13,-0.7461,Strong Negative
14,-0.0516,Neutral
15,-0.8848,Strong Negative
16,-0.8442,Strong Negative
17,-0.2846,Weak Negative
18,-0.8225,Strong Negative
19,-0.7184,Strong Negative
20,-0.34,Weak Negative
21,-0.0258,Neutral
22,0.6929,Strong Positive
23,-0.9459,Strong Negative
24,0.2617,Weak Positive
25,-0.7906,Strong Negative
26,-0.7506,Strong Negative
27,-0.8176,Strong Negative
28,0.2023,Weak Positive
29,-0.8825,Strong Negative
30,-0.7003,Strong Negative
31,0.5719,Strong Positive
32,0.2263,Weak Positive
33,-0.3736,Weak Negative
34,-0.3818,Weak Negative
35,-0.6908,Strong Negative
