Paragraph Number,Compound Score,Classification
1,0.0,Neutral
2,0.0,Neutral
3,-0.9776,Strong Negative
4,-0.7469,Strong Negative
5,-0.0516,Neutral
6,-0.7003,Strong Negative
7,-0.2975,Weak Negative
8,0.0772,Neutral
9,-0.126,Weak Negative
10,-0.4588,Weak Negative
11,-0.3919,Weak Negative
12,-0.6369,Strong Negative
13,-0.4215,Weak Negative
14,-0.3612,Weak Negative
15,0.0,Neutral
16,-0.8875,Strong Negative
17,0.2732,Weak Positive
18,0.4404,Weak Positive
19,-0.4606,Weak Negative
20,-0.9186,Strong Negative
21,-0.565,Strong Negative
22,-0.1451,Weak Negative
23,0.6808,Strong Positive
24,0.3818,Weak Positive
25,-0.34,Weak Negative
26,0.7506,Strong Positive
27,0.7096,Strong Positive
28,0.2108,Weak Positive
29,-0.8546,Strong Negative
30,0.0,Neutral
31,0.1027,Weak Positive
32,-0.9072,Strong Negative
33,-0.5719,Strong Negative
34,0.2392,Weak Positive
35,-0.4939,Weak Negative
36,0.3562,Weak Positive
37,-0.5209,Strong Negative
