Paragraph Number,Compound Score,Classification
1,-0.2263,Weak Negative
2,-0.7717,Strong Negative
3,0.1431,Weak Positive
4,-0.4588,Weak Negative
5,-0.6072,Strong Negative
6,-0.9497,Strong Negative
7,-0.2677,Weak Negative
8,-0.5267,Strong Negative
9,0.3007,Weak Positive
10,-0.6652,Strong Negative
11,-0.6351,Strong Negative
12,-0.7703,Strong Negative
13,-0.0772,Neutral
14,-0.6705,Strong Negative
15,0.522,Strong Positive
16,-0.6664,Strong Negative
17,-0.5106,Strong Negative
18,-0.7876,Strong Negative
19,-0.8926,Strong Negative
20,0.1901,Weak Positive
21,-0.5905,Strong Negative
22,-0.4767,Weak Negative
23,-0.9349,Strong Negative
24,-0.823,Strong Negative
25,-0.8011,Strong Negative
26,-0.8831,Strong Negative
27,0.128,Weak Positive
28,0.3612,Weak Positive
29,-0.8253,Strong Negative
30,-0.833,Strong Negative
31,-0.9246,Strong Negative
32,-0.8085,Strong Negative
33,-0.9688,Strong Negative
34,0.4588,Weak Positive
