Paragraph Number,Compound Score,Classification
1,0.0,Neutral
2,-0.743,Strong Negative
3,-0.8436,Strong Negative
4,-0.8779,Strong Negative
5,0.431,Weak Positive
6,-0.3939,Weak Negative
7,-0.4885,Weak Negative
8,-0.2824,Weak Negative
9,-0.2732,Weak Negative
10,0.5126,Strong Positive
11,-0.6808,Strong Negative
12,-0.9354,Strong Negative
13,0.6249,Strong Positive
14,-0.4215,Weak Negative
15,0.7913,Strong Positive
16,0.6908,Strong Positive
17,-0.1725,Weak Negative
18,-0.8955,Strong Negative
19,-0.9722,Strong Negative
20,0.3612,Weak Positive
21,-0.9929,Strong Negative
22,-0.8253,Strong Negative
23,-0.5023,Strong Negative
24,-0.9791,Strong Negative
25,0.0,Neutral
26,-0.5256,Strong Negative
27,-0.8772,Strong Negative
28,-0.1154,Weak Negative
29,-0.1531,Weak Negative
