Paragraph Number,Compound Score,Classification
1,0.0,Neutral
2,-0.9343,Strong Negative
3,0.1779,Weak Positive
4,-0.9939,Strong Negative
5,-0.7227,Strong Negative
6,0.5574,Strong Positive
7,-0.9136,Strong Negative
8,-0.9246,Strong Negative
9,-0.8405,Strong Negative
10,0.0,Neutral
11,-0.1027,Weak Negative
12,-0.7506,Strong Negative
13,0.8689,Strong Positive
14,-0.7096,Strong Negative
15,0.6497,Strong Positive
16,0.7177,Strong Positive
17,-0.8442,Strong Negative
18,0.0,Neutral
19,-0.6956,Strong Negative
20,-0.7319,Strong Negative
21,-0.5478,Strong Negative
22,0.0,Neutral
23,-0.8934,Strong Negative
24,-0.296,Weak Negative
25,-0.8342,Strong Negative
26,0.8258,Strong Positive
27,-0.3182,Weak Negative
28,-0.7717,Strong Negative
29,-0.9674,Strong Negative
30,0.2263,Weak Positive
31,0.101,Weak Positive
32,0.5423,Strong Positive
33,0.7779,Strong Positive
34,0.25,Weak Positive
35,0.0,Neutral
36,-0.228,Weak Negative
37,-0.8126,Strong Negative
38,0.7351,Strong Positive
