Paragraph Number,Compound Score,Classification
1,0.0,Neutral
2,-0.9538,Strong Negative
3,0.0,Neutral
4,-0.7184,Strong Negative
5,0.128,Weak Positive
6,0.0,Neutral
7,0.6467,Strong Positive
8,0.5093,Strong Positive
9,-0.6662,Strong Negative
10,-0.4404,Weak Negative
11,0.9089,Strong Positive
12,-0.25,Weak Negative
13,0.128,Weak Positive
14,-0.7184,Strong Negative
15,0.1779,Weak Positive
16,-0.2023,Weak Negative
17,0.4019,Weak Positive
18,-0.7754,Strong Negative
19,-0.9118,Strong Negative
20,-0.8753,Strong Negative
21,0.7428,Strong Positive
